date,time,hive,,solar radiation(J/m2)(1min mean)(5minn),wind speed(m/s)(1min mean)(5minn),temperature(1min mean)(5minn),precipitation(mm)(1min mean)(5minn),outdoor temperature,indoor temperature (top),indoor temperature (mid),heat up,heating level,weather,opening,,note,number of outport,number of bees,average number of bee,number of import,number of bring pollen,remove,,weight of pollen (1hr),individual efficiency,remove16
2020/9/15,06:00,A,,2.15,0.27,25.17,0,28.35,27.6,,0, ,,,,,82,,,47,27,,,,,
2020/9/15,06:00,B,,2.35,0.35,25.23,0,27.6,30.1,,0, ,,,,,92,,,176,39,,,,,
2020/9/15,07:00,A,,6.7,0.5,26.3,0,29.1,28.1,,0, ,,,,,121,,,183,59,,,,,
2020/9/15,07:00,B,,6.63,0.43,26.32,0,28.6,30.6,,0, ,,,,,172,,,192,29,,,,,
2020/9/15,08:00,A,,11.55,0.38,28.13,0,31.1,29.35,,0, ,,,,,64,,,91,35,,,,,
2020/9/15,08:00,B,,8.28,0.4,28.23,0,29.6,31.1,,0, ,,,,,105,,,127,23,,,,,
2020/9/15,09:00,A,,32.68,0.58,29.48,0,31.1,30.35,,0, ,,,,,26,,,42,14,,,,,
2020/9/15,09:00,B,,36.13,0.47,30.15,0,30.35,31.6,,0, ,,,,,75,,,80,17,,,,,
2020/9/15,10:00,A,,47.05,0.63,32.28,0,32.85,32.6,,0, ,,,,,184,,,153,,,,,,
2020/9/15,10:00,B,,28.77,0.55,32.1,0,33.6,32.6,,0, ,,,,,,,,,,,,,,
2020/9/15,11:00,A,,49.57,0.67,33.27,0,34.1,33.1,,0, ,,,,,,,,,,,,,,
2020/9/15,11:00,B,,46.97,0.9,33.77,0,34.1,34.1,,0, ,,,,,77,,,91,47,,,,,
2020/9/15,12:00,A,,48.53,0.88,33.42,0,35.1,34.6,,0, ,,,,,,,,,,,,,,
2020/9/15,12:00,B,,45.67,1,33.33,0,34.6,35.1,,0, ,,,,,,,,,44,,,,,
2020/9/15,13:00,A,,19.25,1.33,33.28,0,34.85,35.1,,0, ,,,,,33,,,35,11,,,,,
2020/9/15,13:00,B,,36.95,1.42,32.3,0,34.6,35.1,,0, ,,,,,,,,,71,,,,,
2020/9/15,14:00,A,,46.15,1.1,32.4,0,34.6,35.1,,0, ,,,,,33,,,53,22,,,,,
2020/9/15,14:00,B,,20.83,1.43,32.28,0,34.1,35.1,,0, ,,,,,88,,,97,40,,,,,
2020/9/15,15:00,A,,15.73,0.97,31.42,0,34.1,34.6,,0, ,,,,,41,,,53,12,,,,,
2020/9/15,15:00,B,,26.6,0.83,31.67,0,33.6,35.1,,0, ,,,,,99,,,82,41,,,,,
2020/9/15,16:00,A,,4.72,1.1,30.28,0,33.6,34.6,,0, ,,,,,77,,,81,15,,,,,
2020/9/15,16:00,B,,6,1.05,30.02,0,33.1,34.6,,0, ,,,,,84,,,116,39,,,,,
2020/9/15,17:00,A,,3.12,0.83,29.3,0,32.1,33.6,,0, ,,,,,,,,,23,,,,,
2020/9/15,17:00,B,,2.93,0.97,29.3,0,32.1,34.1,,0, ,,,,,,,,,49,,,,,
2020/9/15,18:00,A,,0.17,0.5,28.9,0,31.1,33.1,,0, ,,,,,62,,,74,36,V,,,,V
2020/9/15,18:00,B,,0.05,0.57,28.83,0,31.1,33.1,,0, ,,,,,,,,,13,V,,,,V
2020/9/16,06:00,A,,0.68,0.17,25.3,0,27.1,28.6,,0, ,,,,,98,6723,0.0146,90,26,,,1.68465,0.017190306,
2020/9/16,06:00,B,,0.92,0.23,25.22,0,28.1,31.1,,0, ,,,,,167,7489,0.0223,139,53,,,1.302,0.007796407,
2020/9/16,07:00,A,,3.15,0.48,26.25,0,28.1,28.6,,0, ,,,,,128,6723,0.019,103,33,,,1.035,0.008085938,
2020/9/16,07:00,B,,3.97,0.55,26.43,0,28.6,31.1,,0, ,,,,,131,7489,0.0175,107,33,,,0.55905,0.004267557,
2020/9/16,08:00,A,,21.53,0.52,28.27,0,30.6,30.1,,0, ,,,,,308,6723,0.0458,276,49,,,2.1054,0.006835714,
2020/9/16,08:00,B,,23.2,0.53,28.85,0,29.6,31.6,,0, ,,,,,233,7489,0.0311,297,31,,,1.54305,0.006622532,
2020/9/16,09:00,A,,34.18,0.62,30.92,0,32.6,32.1,,0, ,,,,,146,6723,0.0217,248,33,,,0.5301,0.003630822,
2020/9/16,09:00,B,,35.73,0.77,31.08,0,31.35,32.6,,0, ,,,,,122,7489,0.0163,176,30,,,1.39515,0.011435656,
2020/9/16,10:00,A,,42.62,0.88,31.88,0,33.6,33.6,,0, ,,,,,148,6723,0.022,163,13,,,0.56874,0.003842838,
2020/9/16,10:00,B,,44.6,1,32.17,0,33.1,34.1,,0, ,,,,,117,7489,0.0156,193,29,,,1.50876,0.012895385,
2020/9/16,12:00,A,,51.77,1.08,33.83,0,35.1,35.1,,0, ,,,,,82,6723,0.0122,114,7,,,0.16116,0.001965366,
2020/9/16,12:00,B,,51.5,0.85,33.95,0,35.6,36.1,,0, ,,,,,157,7489,0.021,222,52,,,0.6462,0.004115924,
2020/9/16,14:00,A,,8.22,0.98,31.9,0,34.6,35.6,,0, ,,,,,29,6723,0.0043,33,6,,,0.1485,0.00512069,
2020/9/16,14:00,B,,8.63,0.85,31.23,0,34.6,36.1,,0, ,,,,,109,7489,0.0146,48,18,,,1.64244,0.015068257,
2020/9/16,16:00,A,,7.13,0.75,30.2,0,33.6,34.6,,0, ,,,,,58,6723,0.0086,66,29,,,0.34218,0.005899655,V
2020/9/16,16:00,B,,5.33,0.6,30.18,0,33.6,35.1,,0, ,,,,,173,7489,0.0231,,74,,,1.21032,0.006996069,V
2020/9/16,18:00,A,,0,0.65,29.35,0,31.6,33.6,,0, ,,,,,44,6723,0.0065,74,31,V,,,,V
2020/9/16,18:00,B,,0,0.52,29.22,0,32.1,34.6,,0, ,,,,,14,7489,0.0019,27,7,V,,,,V
2020/9/17,06:00,A,,0.62,0.15,25,0,26.6,29.1,,0, ,,,,,118,6723,0.0176,81,65,,,3.3996,0.028810169,
2020/9/17,06:00,B,,1,0.13,25,0,28.1,31.1,,0, ,,,,,278,7489,0.0371,231,113,,,2.45775,0.008840827,
2020/9/17,07:00,A,,3.32,0.23,26.1,0,28.1,29.1,,0, ,,,,,339,6723,0.0504,249,60,,,1.8657,0.00550354,
2020/9/17,07:00,B,,3.53,0.32,26.05,0,28.6,31.1,,0, ,,,,,316,7489,0.0422,337,88,,,1.8816,0.00595443,
2020/9/17,08:00,A,,20.48,0.55,28.55,0,30.6,30.1,,0, ,,,,,593,6723,0.0882,254,36,,,1.2456,0.002100506,
2020/9/17,08:00,B,,22.47,0.78,28.87,0,30.1,31.1,,0, ,,,,,580,7489,0.0774,410,100,,,2.91705,0.005029397,
2020/9/17,09:00,A,,30.5,0.45,30.9,0,32.6,32.6,,0, ,,,,,293,6723,0.0436,299,27,,,1.12395,0.003836007,
2020/9/17,09:00,B,,35.45,0.93,31.33,0,31.6,32.1,,0, ,,,,,240,7489,0.032,265,38,,,4.3989,0.01832875,
2020/9/17,10:00,A,,41.5,0.85,32.27,0,33.6,34.1,,0, ,,Inspection,,,99,6723,0.0147,193,21,,,0.75246,0.007600606,
2020/9/17,10:00,B,,43.45,0.88,32.93,0,33.1,33.1,,0, ,,Inspection,,,196,7489,0.0262,189,26,,,0.8805,0.004492347,
2020/9/17,12:00,A,,49.63,0.65,34.17,0,40.1,36.6,,0, ,,,,,111,6723,0.0165,108,7,,,0.15168,0.001366486,
2020/9/17,12:00,B,,49.72,0.85,34.48,0,36.1,35.1,,0, ,,,,,149,7489,0.0199,206,39,,,0.50574,0.003394228,
2020/9/17,14:00,A,,38.1,1.2,34.8,0,38.1,36.1,,0, ,,,,,12,6723,0.0018,26,6,,,0.0948,0.0079,
2020/9/17,14:00,B,,36.17,0.78,34.6,0,36.6,36.6,,0, ,,,,,51,7489,0.0068,48,10,,,0.6558,0.012858824,
2020/9/17,16:00,A,,19.43,0.75,33.98,0,36.6,36.1,,0, ,,,,,31,6723,0.0046,38,5,,,0.12078,0.003896129,V
2020/9/17,16:00,B,,17.8,0.87,33.7,0,36.1,36.6,,0, ,,,,,117,7489,0.0156,134,28,,,0.46806,0.004000513,V
2020/9/18,06:00,A,,0.55,0.18,25.9,0,28.1,29.6,,0, ,,,,,100,6535,0.0153,98,46,,,2.1174,0.021174,
2020/9/18,06:00,B,,0.9,0.25,25.8,0,28.6,30.1,,0, ,,,,,133,7332,0.0181,137,83,,,2.4804,0.018649624,
2020/9/18,07:00,A,,3.53,0.25,26.75,0,29.1,30.1,,0, ,,,,,432,6535,0.0661,185,35,,,0.80295,0.001858681,
2020/9/18,07:00,B,,4.72,0.45,26.93,0,31.35,31.1,,0, ,,,,,290,7332,0.0396,315,61,,,1.2849,0.00443069,
2020/9/18,08:00,A,,23.02,0.75,29.22,0,31.85,31.1,,0, ,,,,,207,6535,0.0317,283,23,,,0.71715,0.003464493,
2020/9/18,08:00,B,,24.15,0.55,29.63,0,31.1,31.6,,0, ,,,,,177,7332,0.0241,222,32,,,1.75665,0.009924576,
