date,dategroup,time,hive,,solar radiation(1min mean)(1/2hr),solar radiation (mean)(6:00~16:00),wind speed(1min mean)(1/2hr),temperature(1min mean)(1/2hr),precipitation(mm)(1min mean)(1/2hr),outdoor temperature,indoor temperature (top),indoor temperature (mid),heat up,heating level,weather,opening,note,weight of pollen (g),weight of pollen (1hr),number of bees,average weight of pollen (mg),outlier,remove16,number of pollen,size of pollen,,,,,??????,weight_r,number_r,weight_1,number_1,weight_2,number_2,weight_3,number_3,weight_4,number_4,weight_5,number_5,weight_6,number_6,weight_7,number_7,weight_8,number_8,weight_9,number_9,weight_10,number_10,weight_11,number_11,weight_12,number_12,weight_13,number_13,weight_14,number_14,weight_15,number_15,weight_16,number_16,weight_17,number_17,weight_18,number_18,weight_19,number_19,weight_20,number_20,weight_21,number_21,weight_22,number_22,weight_23,number_23,weight_24,number_24,weight_25,number_25,weight_26,number_26,weight_27,number_27,weight_28,number_28,weight_29,number_29,weight_30,number_30,weight_31,number_31,weight_32,number_32,weight_33,number_33,weight_34,number_34,weight_35,number_35,weight_36,number_36,weight_37,number_37,weight_38,number_38,weight_39,number_39,weight_40,number_40,weight_41,number_41,weight_42,number_42,weight_43,number_43,weight_44,number_44,weight_45,number_45,weight_46,number_46,weight_47,number_47,weight_48,number_48,weight_49,number_49,weight_50,number_50,weight_51,number_51,weight_52,number_52,weight_53,number_53,weight_54,number_54,weight_56,number_56,weight_57,number_57,weight_58,number_58,weight_60,number_60,weight_61,number_61,weight_62,number_62,weight_63,number_63,weight_64,number_64,weight_66,number_66,weight_67,number_67,weight_68,number_68,weight_69,number_69,weight_70,number_70,weight_71,number_71,weight_72,number_72,weight_73,number_73,weight_74,number_74,weight_75,number_75
2020/9/16,,06:00,A,,1.91,24.35,0.36,25.61,0,27.54,28.6,,0, ,,,,1.1231,1.68465,6723,0.2505801,,,,,,2.2295,1.1064,,,,,0.0329,5,0.4791,99,0.2574,57,0.0054,2,0.0335,9,0.0063,1,0.0053,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,06:00,B,,1.91,24.35,0.36,25.61,0,28.21,31.16,,0, ,,,,0.868,1.302,7489,0.17385499,,,,,,1.976,1.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,07:00,A,,5.31,24.35,0.4,27.16,0,29.48,29.27,,0, ,,,,0.69,1.035,6723,0.15394913,,,,,,1.8106,1.1206,,,0.0437,13,0.0172,3,0.0259,4,0.1081,25,,,0.0625,14,0.0039,1,0.0263,8,,,0.0103,3,,,,,,,0.014,3,,,0.001,1,,,,,0.0413,9,,,,,0.038,18,0.2045,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,07:00,B,,5.31,24.35,0.4,27.16,0,29.23,31.41,,0, ,,,,0.3727,0.55905,7489,0.07464949,,,,,,1.4787,1.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,08:00,A,,28.14,24.35,0.53,30.01,0,31.7,31.04,,0, ,,,,1.4036,2.1054,6723,0.31316377,,,,,,3.6136,2.21,,,0.0371,10,,,,,0.013,4,,,0.0392,8,0.0095,2,,,0.0069,2,0.0511,9,0.1188,33,,,,,0.0307,7,,,0.0075,2,,,,,0.2783,23,0.0171,5,,,0.0424,19,,,,,,,0.0087,2,0.7581,187,0.0052,1,0.0055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,08:00,B,,28.14,24.35,0.53,30.01,0,30.35,31.8,,0, ,,,,1.0287,1.54305,7489,0.2060422,,,,,,2.1355,1.1068,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,09:00,A,,38.79,24.35,0.72,31.74,0,32.98,32.98,,0, ,,,,0.3534,0.5301,6723,0.07884873,,,,,,1.4862,1.1328,,,0.0086,3,,,,,0.0009,1,,,,,0.0029,1,,,0.0379,10,0.0564,8,0.0782,20,0.0279,13,,,0.0382,7,0.002,1,0.0075,2,0.0217,6,,,0.0436,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,09:00,B,,38.79,24.35,0.72,31.74,0,31.91,33.04,,0, ,,,,0.9301,1.39515,7489,0.18629323,,,,,,2.0488,1.1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,10:00,A,,38.89,24.35,0.96,33.23,0,34.74,34.51,,0, ,,,,0.9479,0.56874,6723,0.08459616,,,,,,2.051,1.1031,,,0.0042,1,,,,,,,,,,,0.005,1,,,0.2388,55,0.0954,13,0.302,84,0.084,28,,,0.0537,7,0.0126,2,,,0.0568,12,,,0.0085,2,,,,,0.0079,2,,,0.0447,6,0.0046,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,10:00,B,,38.89,24.35,0.96,33.23,0,35.46,35.4,,0, ,,,,2.5146,1.50876,7489,0.20146348,,,,,,5.8442,3.3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,12:00,A,,31.3,24.35,1.09,33.02,0,35.65,35.53,,0, ,,,,0.2686,0.16116,6723,0.02397144,,,,,,1.3889,1.1203,,,,,,,,,,,,,,,,,,,0.0438,6,0.0652,8,0.0811,24,,,,,,,0.0033,1,,,0.0147,3,,,,,,,,,0.0095,3,0.0088,2,0.0304,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,12:00,B,,31.3,24.35,1.09,33.02,0,35.25,36.46,,0, ,,,,1.077,0.6462,7489,0.08628655,,,,,,2.1839,1.1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,14:00,A,,12.2,24.35,0.89,30.76,0,33.86,35.03,,0, ,,,,0.2475,0.1485,6723,0.02208835,,,,,,1.3542,1.1067,,,,,,,,,,,,,,,,,,,,,0.0043,1,0.2227,63,,,,,,,,,,,,,,,,,,,,,0.0119,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,14:00,B,,12.2,24.35,0.89,30.76,0,33.78,35.53,,0, ,,,,2.7374,1.64244,7489,0.21931366,,,,,,6.0882,3.3508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,16:00,A,,3.32,24.35,0.57,29.79,0,32.81,33.83,,0, ,,,,0.5703,0.34218,6723,0.05089692,V,V,,,,1.686,1.1157,,,,,,,,,,,,,,,,,0.0258,7,,,,,0.4973,146,,,,,,,,,,,,,0.0252,4,,,0.0077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,16:00,B,,3.32,24.35,0.57,29.79,0,32.84,35.03,,0, ,,,,2.0172,1.21032,7489,0.16161303,V,V,,,,4.2409,2.2237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,18:00,A,,,,,,,,,,0, ,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/16,,18:00,B,,,,,,,,,,0, ,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,06:00,A,,2.3,29.36,0.38,25.57,0,27.38,29.1,,0, ,sunny,,,2.2664,3.3996,6723,0.50566711,,,,,,4.4982,2.2318,,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,06:00,B,,2.3,29.36,0.38,25.57,0,28.25,31.1,,0, ,sunny,,,1.6385,2.45775,7489,0.32818133,,,,,,3.843,2.2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,07:00,A,,6.06,29.36,0.43,26.99,0,29.49,29.43,,0, ,sunny,,,1.2438,1.8657,6723,0.27751004,,,,,,3.4916,2.2478,,,0.0732,17,0.008,1,0.2464,51,0.0281,8,,,0.0592,12,,,0.2846,72,0.1433,23,0.0303,5,0.0202,5,,,,,,,0.0174,3,0.0215,3,0.0047,1,,,0.0798,18,,,0.0067,3,0.0626,20,0.0028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,07:00,B,,6.06,29.36,0.43,26.99,0,29.16,30.88,,0, ,sunny,,,1.2544,1.8816,7489,0.2512485,,,,,,2.3636,1.1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,08:00,A,,29.26,29.36,0.61,30.15,0,31.9,31.35,,0, ,sunny,,,0.8304,1.2456,6723,0.18527443,,,,,,1.9447,1.1143,,,0.0095,3,0.0057,1,0.0172,4,,,,,0.0326,8,,,0.156,35,0.089,16,0.0316,4,0.1869,54,,,,,0.0847,13,0.015,2,0.0067,1,,,,,0.0896,18,,,0.0075,2,0.0206,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,08:00,B,,29.26,29.36,0.61,30.15,0,30.65,31.5,,0, ,sunny,,,1.9447,2.91705,7489,0.38951128,,,,,,4.1813,2.2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,09:00,A,,35.11,29.36,0.82,31.7,0,33.1,33.41,,0, ,sunny,,,0.7493,1.12395,6723,0.16717983,,,,,,1.8582,1.1089,,,0.0124,2,,,,,,,,,,,,,0.0714,12,0.1643,44,0.015,2,0.2309,57,,,,,0.0646,10,0.0489,10,0.0182,3,0.0175,3,,,0.0505,8,,,,,0.0265,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,09:00,B,,35.11,29.36,0.82,31.7,0,32.04,32.48,,0, ,sunny,,,2.9326,4.3989,7489,0.58738149,,,,,,6.2565,3.3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,10:00,A,,48.07,29.36,0.89,33.37,0,35.13,35.89,,0, ,sunny,Inspection,,1.2541,0.75246,6723,0.11192325,,,,,,2.368,1.1139,,,,,,,,,,,,,,,,,,,0.544,110,0.1224,16,0.1815,53,0.1789,48,0.0262,6,0.0057,1,0.0132,2,0.0386,6,0.0202,4,,,0.0082,6,0.0431,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,10:00,B,,48.07,29.36,0.89,33.37,0,34.98,34.62,,0, ,sunny,Inspection,,1.4675,0.8805,7489,0.11757244,,,,,,3.7157,2.2482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,12:00,A,,37.27,29.36,0.97,34.18,0,38.03,36.03,,0, ,sunny,,,0.2528,0.15168,6723,0.02256136,,,,,,1.3618,1.109,,,,,,,,,,,,,,,,,,,0.0797,17,0.078,9,0.0372,10,0.0229,5,,,,,0.0183,3,,,0.0171,3,,,,,0.006,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,12:00,B,,37.27,29.36,0.97,34.18,0,35.9,35.92,,0, ,sunny,,,0.8429,0.50574,7489,0.06753105,,,,,,1.9682,1.1253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,14:00,A,,26.92,29.36,0.62,34.56,0,37.13,36.1,,0, ,sunny,,,0.158,0.0948,6723,0.01410085,,,,,,1.2727,1.1147,,,,,,,,,,,,,,,,,,,0.0023,1,0.0262,3,0.0947,26,,,,,,,,,,,,,0.0343,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,14:00,B,,26.92,29.36,0.62,34.56,0,36.1,36.41,,0, ,sunny,,,1.093,0.6558,7489,0.08756843,,,,,,2.2188,1.1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/17,,16:00,A,,5.11,29.36,0.76,31.62,0,34.33,35.6,,0, ,sunny,,,0.2013,0.12078,6723,0.01796519,V,V,,,,1.3155,1.1142,,,0.0018,1,,,,,,,,,,,,,0.0009,1,,,,,0.1646,49,,,,,,,,,,,,,0.0224,4,,,,,,,0.0008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
