treatment,weight,eaten,eaten pollen,time,convert,alive,status
T0,127.6 ,150 ,4.50 ,82.0 ,0.8507 ,1 ,0
T0,,65 ,1.95 ,69.0 ,,0 ,1
T0,,95 ,2.85 ,117.5 ,,0 ,1
T0,,100 ,3.00 ,117.5 ,,0 ,1
T0,127.6 ,130 ,3.90 ,69.0 ,0.9815 ,1 ,0
T0,133.2 ,135 ,4.05 ,69.0 ,0.9867 ,1 ,0
T0,,120 ,3.60 ,69.0 ,,1 ,0
T0,,40 ,1.20 ,36.0 ,,0 ,1
T0,117.8 ,125 ,3.75 ,69.0 ,0.9424 ,1 ,0
T0,130.1 ,135 ,4.05 ,59.5 ,0.9637 ,1 ,0
T0,110.2 ,125 ,3.75 ,73.0 ,0.8816 ,1 ,0
T0,115.6 ,130 ,3.90 ,69.0 ,0.8892 ,1 ,0
T0,125.3 ,130 ,3.90 ,69.0 ,0.9638 ,1 ,0
T0,107.5 ,115 ,3.45 ,73.0 ,0.9348 ,1 ,0
T0,120.1 ,125 ,3.75 ,69.0 ,0.9608 ,1 ,0
T0,127.4 ,130 ,3.90 ,69.0 ,0.9800 ,1 ,0
T0,,145 ,4.35 ,117.5 ,,0 ,1
T0,,100 ,3.00 ,76.0 ,,0 ,1
T0,114.3 ,135 ,4.05 ,76.0 ,0.8467 ,1 ,0
T0,107.2 ,145 ,4.35 ,93.0 ,0.7393 ,1 ,0
T0,109.0 ,140 ,4.20 ,82.0 ,0.7786 ,1 ,0
T0,136.3 ,140 ,4.20 ,57.5 ,0.9736 ,1 ,0
T0,,140 ,4.20 ,82.0 ,,1 ,0
T0,,130 ,3.90 ,69.0 ,,1 ,0
T0,102.2 ,105 ,3.15 ,69.0 ,0.9733 ,1 ,0
T0,120.0 ,150 ,4.50 ,79.0 ,0.8000 ,1 ,0
T0,,110 ,3.30 ,97.0 ,,0 ,1
T0,119.8 ,155 ,4.65 ,84.0 ,0.7729 ,1 ,0
T0,106.7 ,140 ,4.20 ,106.0 ,0.7621 ,1 ,0
T1,,30 ,0.90 ,33.5 ,,0 ,1
T1,105.5 ,135 ,4.05 ,84.0 ,0.7815 ,1 ,0
T1,107.6 ,135 ,4.05 ,84.0 ,0.7970 ,1 ,0
T1,109.4 ,135 ,4.05 ,79.0 ,0.8104 ,1 ,0
T1,,135 ,4.05 ,73.0 ,,1 ,0
T1,,115 ,3.45 ,76.0 ,,0 ,1
T1,111.6 ,120 ,3.60 ,69.0 ,0.9300 ,1 ,0
T1,,130 ,3.90 ,69.0 ,,1 ,0
T1,123.4 ,135 ,4.05 ,73.0 ,0.9141 ,1 ,0
T1,129.2 ,125 ,3.75 ,69.0 ,1.0336 ,1 ,0
T1,113.9 ,125 ,3.75 ,73.0 ,0.9112 ,1 ,0
T1,105.5 ,115 ,3.45 ,69.0 ,0.9174 ,1 ,0
T1,,50 ,1.50 ,49.0 ,,0 ,1
