date,time,temperature,hive,heat up
2020/9/16,6:00,28.6,A,0
2020/9/16,6:05,28.6,A,0
2020/9/16,6:10,28.6,A,0
2020/9/16,6:15,28.6,A,0
2020/9/16,6:20,28.6,A,0
2020/9/16,6:25,28.6,A,0
2020/9/16,6:30,28.6,A,0
2020/9/16,6:35,28.6,A,0
2020/9/16,6:40,28.6,A,0
2020/9/16,6:45,28.6,A,0
2020/9/16,6:50,28.6,A,0
2020/9/16,6:55,28.6,A,0
2020/9/16,7:00,28.6,A,0
2020/9/16,7:05,28.6,A,0
2020/9/16,7:10,29.1,A,0
2020/9/16,7:15,29.1,A,0
2020/9/16,7:20,29.1,A,0
2020/9/16,7:25,29.1,A,0
2020/9/16,7:30,29.6,A,0
2020/9/16,7:35,29.6,A,0
2020/9/16,7:40,29.6,A,0
2020/9/16,7:45,29.6,A,0
2020/9/16,7:50,30.1,A,0
2020/9/16,7:55,30.1,A,0
2020/9/16,8:00,30.1,A,0
2020/9/16,8:05,30.1,A,0
2020/9/16,8:10,30.6,A,0
2020/9/16,8:15,30.6,A,0
2020/9/16,8:20,31.1,A,0
2020/9/16,8:25,31.1,A,0
2020/9/16,8:30,31.1,A,0
2020/9/16,8:35,31.6,A,0
2020/9/16,8:40,31.6,A,0
2020/9/16,8:45,31.6,A,0
2020/9/16,8:50,32.1,A,0
2020/9/16,8:55,32.1,A,0
2020/9/16,9:00,32.1,A,0
2020/9/16,9:05,32.6,A,0
2020/9/16,9:10,32.6,A,0
2020/9/16,9:15,32.6,A,0
2020/9/16,9:20,32.6,A,0
2020/9/16,9:25,33.1,A,0
2020/9/16,9:30,33.1,A,0
2020/9/16,9:35,33.1,A,0
2020/9/16,9:40,33.1,A,0
2020/9/16,9:45,33.6,A,0
2020/9/16,9:50,33.6,A,0
2020/9/16,9:55,33.6,A,0
2020/9/16,10:00,33.6,A,0
2020/9/16,10:05,33.6,A,0
2020/9/16,10:10,34.1,A,0
2020/9/16,10:15,34.1,A,0
2020/9/16,10:20,34.1,A,0
2020/9/16,10:25,34.1,A,0
2020/9/16,10:30,34.6,A,0
2020/9/16,10:35,34.6,A,0
2020/9/16,10:40,34.6,A,0
2020/9/16,10:45,34.6,A,0
2020/9/16,10:50,34.6,A,0
2020/9/16,10:55,34.6,A,0
2020/9/16,11:00,34.6,A,0
2020/9/16,11:05,34.6,A,0
2020/9/16,11:10,34.6,A,0
2020/9/16,11:15,34.6,A,0
2020/9/16,11:20,34.6,A,0
2020/9/16,11:25,34.6,A,0
2020/9/16,11:30,34.6,A,0
2020/9/16,11:35,35.1,A,0
2020/9/16,11:40,34.6,A,0
2020/9/16,11:45,35.1,A,0
2020/9/16,11:50,34.6,A,0
2020/9/16,11:55,35.1,A,0
2020/9/16,12:00,35.1,A,0
2020/9/16,12:05,35.1,A,0
2020/9/16,12:10,35.1,A,0
2020/9/16,12:15,35.1,A,0
2020/9/16,12:20,35.1,A,0
2020/9/16,12:25,35.1,A,0
2020/9/16,12:30,35.1,A,0
2020/9/16,12:35,35.1,A,0
2020/9/16,12:40,35.1,A,0
2020/9/16,12:45,35.6,A,0
2020/9/16,12:50,35.6,A,0
2020/9/16,12:55,35.6,A,0
2020/9/16,13:00,35.6,A,0
2020/9/16,13:05,35.6,A,0
2020/9/16,13:10,35.6,A,0
2020/9/16,13:15,35.6,A,0
2020/9/16,13:20,36.1,A,0
2020/9/16,13:25,36.1,A,0
2020/9/16,13:30,36.1,A,0
2020/9/16,13:35,36.1,A,0
2020/9/16,13:40,35.6,A,0
2020/9/16,13:45,35.6,A,0
2020/9/16,13:50,35.6,A,0
2020/9/16,13:55,35.6,A,0
2020/9/16,14:00,35.6,A,0
2020/9/16,14:05,35.6,A,0
2020/9/16,14:10,35.6,A,0
2020/9/16,14:15,35.6,A,0
2020/9/16,14:20,35.1,A,0
2020/9/16,14:25,35.1,A,0
2020/9/16,14:30,35.1,A,0
2020/9/16,14:35,35.1,A,0
2020/9/16,14:40,35.1,A,0
2020/9/16,14:45,35.1,A,0
2020/9/16,14:50,35.1,A,0
2020/9/16,14:55,35.1,A,0
2020/9/16,15:00,35.1,A,0
2020/9/16,15:05,35.1,A,0
2020/9/16,15:10,35.1,A,0
